line=1 time=2025-06-30T05:19:09Z [syftbox] Script PID: 848350
line=2 time=2025-06-30T05:19:09Z [syftbox] Start time: Mon Jun 30 05:19:09 UTC 2025
line=3 time=2025-06-30T05:19:09Z [syftbox] App ID: local.claude-anthropic
line=4 time=2025-06-30T05:19:09Z [syftbox] App Dir: /home/azureuser/SyftBox/apps/claude-anthropic
line=5 time=2025-06-30T05:19:09Z [syftbox] App Port: 40525
line=6 time=2025-06-30T05:19:09Z [syftbox] Client Config Path: /home/azureuser/.syftbox/config.json
line=7 time=2025-06-30T05:19:09Z [syftbox] PATH: /home/azureuser/.cargo/bin:/home/azureuser/.local/bin:/home/azureuser/.cargo/bin:/home/azureuser/.local/bin:/home/azureuser/.local/bin:/home/azureuser/.cargo/bin:/home/azureuser/.local/bin:/home/azureuser/.cargo/bin:/home/azureuser/.local/bin:/home/azureuser/.local/bin:/home/azureuser/.cargo/bin:/home/azureuser/.local/bin:/home/azureuser/.cargo/bin:/home/azureuser/.local/bin:/home/azureuser/.cargo/bin:/home/azureuser/.local/bin:/home/azureuser/.cargo/bin:/home/azureuser/.local/bin:/home/azureuser/.local/bin:/home/azureuser/.cargo/bin:/home/azureuser/.local/bin:/home/azureuser/.cargo/bin:/home/azureuser/.local/bin:/home/azureuser/.local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
line=8 time=2025-06-30T05:19:09Z ==========STARTING APP==========
line=9 time=2025-06-30T05:19:09Z Resolved 50 packages in 7ms
line=10 time=2025-06-30T05:19:09Z Audited 47 packages in 0.04ms
line=11 time=2025-06-30T05:19:09Z Running 'claude' with Python 3.12.7 at '/home/azureuser/SyftBox/apps/claude-anthropic/.venv/bin/python3'
line=12 time=2025-06-30T05:19:12Z 2025-06-30 05:19:12.928 | INFO     | syft_event.server2:register_rpc:149 - Register RPC: /completions
line=99 time=2025-07-01T12:03:49Z 2025-07-01 12:03:49.475 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/433b2270-3bc4-4cad-85b9-a64757440189.request
line=100 time=2025-07-01T12:03:49Z 2025-07-01 12:03:49.475 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/433b2270-3bc4-4cad-85b9-a64757440189.request
line=101 time=2025-07-01T12:03:51Z 2025-07-01 12:03:51.883 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/d1ff06be-1220-4af4-ab8f-3d201fcf2ed3.request
line=102 time=2025-07-01T12:03:51Z 2025-07-01 12:03:51.884 | INFO     | __main__:handle_chat_completion_request:108 - Processing chat request: <d1ff06be-1220-4af4-ab8f-3d201fcf2ed3>from <irina@openmined.org>
line=103 time=2025-07-01T12:03:51Z 2025-07-01 12:03:51.885 | INFO     | __main__:handle_chat_completion_request:112 - Pricing per request: 0.001
line=104 time=2025-07-01T12:03:52Z 2025-07-01 12:03:52.065 | INFO     | __main__:handle_chat_completion_request:117 - Transaction: id='cmckhbrqk0006ti3yp1587uhh' senderEmail='irina@openmined.org' recipientEmail='aggregator@openmined.org' createdBy='RECIPIENT' resolvedBy=None amount=0.0 status='PENDING' createdAt=datetime.datetime(2025, 7, 1, 12, 3, 44, 300000, tzinfo=TzInfo(UTC)) resolvedAt=None
line=105 time=2025-07-01T12:41:48Z 2025-07-01 12:41:48.627 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/aa26e79f-f3a6-4d24-aebd-3416b4e1d093.request
line=106 time=2025-07-01T12:41:48Z 2025-07-01 12:41:48.628 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/aa26e79f-f3a6-4d24-aebd-3416b4e1d093.request
line=107 time=2025-07-01T12:41:50Z 2025-07-01 12:41:50.817 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/4f46b5bc-7a14-427f-afec-80c9bb41bae8.request
line=108 time=2025-07-01T12:41:50Z 2025-07-01 12:41:50.817 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/4f46b5bc-7a14-427f-afec-80c9bb41bae8.request
line=109 time=2025-07-01T12:41:53Z 2025-07-01 12:41:53.307 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/d9d48883-ef42-41af-83c5-84b4c449174d.request
line=110 time=2025-07-01T12:41:53Z 2025-07-01 12:41:53.308 | INFO     | __main__:handle_chat_completion_request:108 - Processing chat request: <d9d48883-ef42-41af-83c5-84b4c449174d>from <irina@openmined.org>
line=111 time=2025-07-01T12:41:53Z 2025-07-01 12:41:53.309 | INFO     | __main__:handle_chat_completion_request:112 - Pricing per request: 0.001
line=112 time=2025-07-01T12:41:53Z 2025-07-01 12:41:53.479 | INFO     | __main__:handle_chat_completion_request:117 - Transaction: id='cmckioo4k0008ti3ypwtgttdq' senderEmail='irina@openmined.org' recipientEmail='aggregator@openmined.org' createdBy='RECIPIENT' resolvedBy=None amount=0.0 status='PENDING' createdAt=datetime.datetime(2025, 7, 1, 12, 41, 45, 764000, tzinfo=TzInfo(UTC)) resolvedAt=None
line=113 time=2025-07-03T13:22:06Z 2025-07-03 13:22:06.353 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/88b5bad1-b5b1-49f8-825d-5a7b775af365.request
line=114 time=2025-07-03T13:22:06Z 2025-07-03 13:22:06.353 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/88b5bad1-b5b1-49f8-825d-5a7b775af365.request
line=115 time=2025-07-03T13:22:07Z 2025-07-03 13:22:07.728 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/28c004d8-66cd-4f6b-b42e-7ea92d1c3dc0.request
line=116 time=2025-07-03T13:22:07Z 2025-07-03 13:22:07.728 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/28c004d8-66cd-4f6b-b42e-7ea92d1c3dc0.request
line=117 time=2025-07-03T13:22:10Z 2025-07-03 13:22:10.063 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/ae824ed7-6814-4319-a12e-9698ded61bbd.request
line=118 time=2025-07-03T13:22:10Z 2025-07-03 13:22:10.064 | INFO     | __main__:handle_chat_completion_request:108 - Processing chat request: <ae824ed7-6814-4319-a12e-9698ded61bbd>from <irina@openmined.org>
line=119 time=2025-07-03T13:22:10Z 2025-07-03 13:22:10.065 | INFO     | __main__:handle_chat_completion_request:112 - Pricing per request: 0.001
line=120 time=2025-07-03T13:22:10Z 2025-07-03 13:22:10.242 | INFO     | __main__:handle_chat_completion_request:117 - Transaction: id='cmcnf05zu000ati3ykdtiow8g' senderEmail='irina@openmined.org' recipientEmail='aggregator@openmined.org' createdBy='RECIPIENT' resolvedBy=None amount=0.0 status='PENDING' createdAt=datetime.datetime(2025, 7, 3, 13, 22, 2, 202000, tzinfo=TzInfo(UTC)) resolvedAt=None
line=121 time=2025-07-07T09:11:13Z 2025-07-07 09:11:13.735 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/5610f604-f20e-4a91-aac7-00a7870b79c6.request
line=122 time=2025-07-07T09:11:13Z 2025-07-07 09:11:13.740 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/5610f604-f20e-4a91-aac7-00a7870b79c6.request
line=123 time=2025-07-07T09:11:14Z 2025-07-07 09:11:14.949 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/02aa7ff7-bb4e-458e-9678-b8ab9765da4f.request
line=124 time=2025-07-07T09:11:14Z 2025-07-07 09:11:14.950 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/02aa7ff7-bb4e-458e-9678-b8ab9765da4f.request
line=125 time=2025-07-07T09:11:19Z 2025-07-07 09:11:19.542 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/8044c085-8d69-4f74-9bbf-373e1e85b362.request
line=126 time=2025-07-07T09:11:19Z 2025-07-07 09:11:19.542 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/8044c085-8d69-4f74-9bbf-373e1e85b362.request
line=127 time=2025-07-07T10:10:16Z 2025-07-07 10:10:16.030 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/da459f15-d3d5-4b2c-bed1-1645deba08f3.request
line=128 time=2025-07-07T10:10:16Z 2025-07-07 10:10:16.031 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/da459f15-d3d5-4b2c-bed1-1645deba08f3.request
line=129 time=2025-07-07T10:23:41Z 2025-07-07 10:23:41.037 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/b076a0bf-7290-4033-b48b-15ac7c9d1a42.request
line=130 time=2025-07-07T10:23:41Z 2025-07-07 10:23:41.038 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/b076a0bf-7290-4033-b48b-15ac7c9d1a42.request
line=131 time=2025-07-07T10:23:42Z 2025-07-07 10:23:42.257 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/9c732eef-9a9f-4749-b095-2ea60722d3d0.request
line=132 time=2025-07-07T10:23:42Z 2025-07-07 10:23:42.258 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/9c732eef-9a9f-4749-b095-2ea60722d3d0.request
line=133 time=2025-07-07T10:47:19Z 2025-07-07 10:47:19.083 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/d1532485-18dd-4e9a-bc9e-60bd8ecfc790.request
line=134 time=2025-07-07T10:47:19Z 2025-07-07 10:47:19.083 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/d1532485-18dd-4e9a-bc9e-60bd8ecfc790.request
line=135 time=2025-07-07T10:47:30Z 2025-07-07 10:47:30.699 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/d1532485-18dd-4e9a-bc9e-60bd8ecfc790.request
line=136 time=2025-07-07T10:47:30Z 2025-07-07 10:47:30.700 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/d1532485-18dd-4e9a-bc9e-60bd8ecfc790.request
line=137 time=2025-07-07T10:49:50Z 2025-07-07 10:49:50.731 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/01d622aa-cbe1-4735-83aa-411fb3356ee7.request
line=138 time=2025-07-07T10:49:50Z 2025-07-07 10:49:50.732 | INFO     | __main__:handle_chat_completion_request:108 - Processing chat request: <01d622aa-cbe1-4735-83aa-411fb3356ee7>from <irina@openmined.org>
line=139 time=2025-07-07T10:49:50Z 2025-07-07 10:49:50.733 | INFO     | __main__:handle_chat_completion_request:112 - Pricing per request: 0.001
line=140 time=2025-07-07T10:49:50Z 2025-07-07 10:49:50.937 | INFO     | __main__:handle_chat_completion_request:117 - Transaction: id='cmcszbo8n000cti3ycbcjfp57' senderEmail='irina@openmined.org' recipientEmail='aggregator@openmined.org' createdBy='RECIPIENT' resolvedBy=None amount=0.0 status='PENDING' createdAt=datetime.datetime(2025, 7, 7, 10, 49, 42, 264000, tzinfo=TzInfo(UTC)) resolvedAt=None
line=141 time=2025-07-07T10:54:57Z 2025-07-07 10:54:57.905 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/df54115c-7871-48b6-a2ed-b985b1dc5c7a.request
line=142 time=2025-07-07T10:54:57Z 2025-07-07 10:54:57.906 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/df54115c-7871-48b6-a2ed-b985b1dc5c7a.request
line=143 time=2025-07-07T10:54:59Z 2025-07-07 10:54:59.161 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/36ddd433-531f-48f2-9c31-52b9b534aaa7.request
line=144 time=2025-07-07T10:54:59Z 2025-07-07 10:54:59.161 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/36ddd433-531f-48f2-9c31-52b9b534aaa7.request
line=145 time=2025-07-07T11:02:08Z 2025-07-07 11:02:08.875 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/38e85d92-1e6f-46e7-af74-cb0b661988e0.request
line=146 time=2025-07-07T11:02:08Z 2025-07-07 11:02:08.876 | INFO     | __main__:handle_chat_completion_request:108 - Processing chat request: <38e85d92-1e6f-46e7-af74-cb0b661988e0>from <irina@openmined.org>
line=147 time=2025-07-07T11:02:08Z 2025-07-07 11:02:08.877 | INFO     | __main__:handle_chat_completion_request:112 - Pricing per request: 0.001
line=148 time=2025-07-07T11:02:09Z 2025-07-07 11:02:09.067 | INFO     | __main__:handle_chat_completion_request:117 - Transaction: id='cmcszrhtl000eti3y3j28mb2h' senderEmail='irina@openmined.org' recipientEmail='aggregator@openmined.org' createdBy='RECIPIENT' resolvedBy=None amount=0.0 status='PENDING' createdAt=datetime.datetime(2025, 7, 7, 11, 2, 0, 442000, tzinfo=TzInfo(UTC)) resolvedAt=None
line=149 time=2025-07-07T23:29:21Z 2025-07-07 23:29:21.266 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/bcabd401-9593-4cf4-b6cb-10b51e17ba34.request
line=150 time=2025-07-07T23:29:21Z 2025-07-07 23:29:21.266 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/bcabd401-9593-4cf4-b6cb-10b51e17ba34.request
line=151 time=2025-07-07T23:29:29Z 2025-07-07 23:29:29.831 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/completions/d2f588b7-1336-4339-8e80-2e9b80a13986.request
line=152 time=2025-07-07T23:29:29Z 2025-07-07 23:29:29.831 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/completions/d2f588b7-1336-4339-8e80-2e9b80a13986.request
line=153 time=2025-07-07T23:29:33Z 2025-07-07 23:29:33.854 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/bcabd401-9593-4cf4-b6cb-10b51e17ba34.request
line=154 time=2025-07-07T23:29:33Z 2025-07-07 23:29:33.854 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/bcabd401-9593-4cf4-b6cb-10b51e17ba34.request
line=155 time=2025-07-07T23:32:47Z 2025-07-07 23:32:47.754 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/3941bf26-edca-4599-b8d3-988450eaf784.request
line=156 time=2025-07-07T23:32:47Z 2025-07-07 23:32:47.754 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/3941bf26-edca-4599-b8d3-988450eaf784.request
line=157 time=2025-07-07T23:33:42Z 2025-07-07 23:33:42.707 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/818921ec-0b83-4eac-be80-264642269bab.request
line=158 time=2025-07-07T23:33:42Z 2025-07-07 23:33:42.707 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/818921ec-0b83-4eac-be80-264642269bab.request
line=159 time=2025-07-07T23:33:44Z 2025-07-07 23:33:44.103 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/c6d7f139-bc8d-4661-bfd5-4aa27c9b88eb.request
line=160 time=2025-07-07T23:33:44Z 2025-07-07 23:33:44.104 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/c6d7f139-bc8d-4661-bfd5-4aa27c9b88eb.request
line=161 time=2025-07-07T23:33:54Z 2025-07-07 23:33:54.953 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/c6d7f139-bc8d-4661-bfd5-4aa27c9b88eb.request
line=162 time=2025-07-07T23:33:54Z 2025-07-07 23:33:54.953 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/c6d7f139-bc8d-4661-bfd5-4aa27c9b88eb.request
